手写涂鸦短句印花 50 款，货号 BO-1206 到 BO-1255。
主体为英文短句，深色手写字加浅色描边，少量星星、笑脸、下划线、角标、箭头、花朵等涂鸦元素。
用于黑色/白色/灰色 T 恤胸前局部透明底贴图。

BO-1206	午后小憩	NAP CLUB
BO-1207	清爽夏天	COOL SUMMER
BO-1208	好天气	NICE WEATHER
BO-1209	安静片刻	QUIET MOMENT
BO-1210	微光心情	LITTLE GLOW
BO-1211	舒适状态	COZY STATE
BO-1212	微笑日常	SMILE MORE
BO-1213	好日子	GOOD DAY
BO-1214	开心一点	HAPPY THINGS
BO-1215	慢生活	STAY EASY
BO-1216	周末节奏	WEEKEND MODE
BO-1217	轻松周五	FRIDAY FEEL
BO-1218	小小冒险	TINY ADVENTURE
BO-1219	夏日笔记	SUMMER NOTE
BO-1220	路上见	SEE YOU OUT
BO-1221	柔软日子	SOFT DAYS
BO-1222	海边心情	BEACH MIND
BO-1223	小步前进	SMALL STEPS
BO-1224	简单出门	OUT AND ABOUT
BO-1225	自由呼吸	OPEN AIR
BO-1226	随心一点	LET IT FLOW
BO-1227	向阳而行	CHASE SUN
BO-1228	保持新鲜	STAY FRESH
BO-1229	去散步	GO OUTSIDE
BO-1230	慢热日常	WARM SLOWLY
BO-1231	随便逛逛	JUST WANDER
BO-1232	小幸运	LITTLE LUCK
BO-1233	今日晴朗	BRIGHT TODAY
BO-1234	保持温柔	KEEP SOFT
BO-1235	自由心情	FREE MOOD
BO-1236	放空一下	SPACE OUT
BO-1237	慢慢来	SLOW DOWN
BO-1238	阳光感	SUN IS UP
BO-1239	元气一下	GOOD ENERGY
BO-1240	安静快乐	QUIET JOY
BO-1241	轻快心情	LIGHT HEART
BO-1242	别太认真	NOT SO SERIOUS
BO-1243	轻松点	TAKE IT LIGHT
BO-1244	慢速星期天	SLOW SUNDAY
BO-1245	松弛一下	LOOSEN UP
BO-1246	晚风时刻	EVENING BREEZE
BO-1247	今天不错	TODAY IS OK
BO-1248	快乐信号	GOOD SIGNAL
BO-1249	悠闲计划	EASY PLAN
BO-1250	随身好运	LUCK ON ME
BO-1251	简单快乐	SIMPLE JOY
BO-1252	小小闪光	TINY SPARK
BO-1253	好好呼吸	BREATHE EASY
BO-1254	快乐补给	JOY FUEL
BO-1255	云朵日记	CLOUD NOTES
